apple_music_id,artist,name,effective_bpm,consensus_bpm,djay_bpm_diff,bpm_diff,djay_bpm,djay_manual_bpm,djay_straight_grid,apple_music_bpm,beatunes_bpm,beatunes_bpm_salience,bpm_rhythm,bpm_rhythm_confidence,bpm_percival,effective_key,consensus_key,key_diff,djay_key,essentia_key,beatunes_key,apple_music_key,edma_key,edma_strength,edmm_key,edmm_strength,bgate_key,bgate_strength,braw_key,braw_strength,shaath_key,shaath_strength,temperley_key,temperley_strength,noland_key,noland_strength
92D36E5321D323C1,upper class,CONVENTIONAL PARTIES,120.0,120.0,0.0,1.59,120.0,,True,120,120.0,1.0,118.6,1.6473,120.19,2m,2m,5,3m,2m,2m,2m,2m,0.5152,2m,0.5139,2m,0.5172,6d,0.5213,2m,0.5726,2m,0.6116,2m,0.4149
F81B3909CBE1EB61,COMA,Lora (Robag's Fandara Qualv NB),118.9,118.9,0.0,0.88,119.0,,True,119,118.99513244628906,0.9949748516082764,118.12,2.377,118.8,4d,4d,5,3d,4d,3m,4d,4d,0.7884,3m,0.7846,4d,0.8518,4d,0.8011,4d,0.776,3d,0.7621,3d,0.8955
A543179C836D1B52,Audision,Red Sky (Robag Wruhme Remix),123.9,123.9,0.0,0.54,124.01,,True,124,124.0419692993164,0.9898989796638489,123.5,2.431,123.78,12d,12d,5,12m,12d,2m,12d,2d,0.5772,12m,0.6058,12d,0.6425,12d,0.6242,12d,0.6579,1d,0.7987,12m,0.793
3FC1D10C4232E18A,Raphael Schön,Energy,132.98,132.98,0.0,0.43,133.0,,True,133,132.9528045654297,0.9637305736541748,132.94,2.265,133.37,11m,11m,5,10m,11m,11m,11m,11m,0.7883,10m,0.7664,10m,0.8041,11m,0.7193,11m,0.7944,10d,0.9025,10d,0.9077
FEAE624ED7992809,The White Lamp,It's You (Ron Basejam Remix),122.03,122.03,0.0,0.33,122.0,,False,122,121.99169921875,0.9746193289756775,122.06,2.0794,122.32,2m,2m,5,1m,2m,1m,2m,2m,0.8376,2m,0.8414,1m,0.827,2m,0.7575,2m,0.8544,1d,0.8313,1m,0.9128
E3313CDCE9840BC5,Superpitcher,Lonely Lover,122.03,122.03,0.0,0.32,122.01,,False,122,122.0,1.0,122.05,1.6867,122.32,8d,8d,5,8d,8d,3m,8d,8d,0.757,8m,0.5829,8d,0.8307,8d,0.7685,8d,0.8448,8d,0.9334,8d,0.8345
1358E16BE3A17A16,Guti & Dubshape,Every Cow Has A Bird,124.0,124.0,0.0,0.22,124.0,,True,124,124.0025405883789,0.979899525642395,123.99,2.7663,123.78,6m,6m,5,6m,6m,5m,6m,6m,0.7471,5m,0.7288,5m,0.7207,6m,0.709,6m,0.7411,5d,0.6531,5m,0.6958
AA6B003CE506D86D,Stardust,Music Sounds Better With You,123.89,123.89,0.0,0.22,123.91,,False,124,124.0,1.0,123.87,3.2894,123.78,9m,9m,5,8m,9m,8m,9m,9m,0.8643,9m,0.8244,9m,0.8275,9m,0.8949,12d,0.8152,9m,0.6734,9m,0.6884
F87842D38AE99551,Todd Terje,Ragysh,120.0,120.0,0.0,0.21,120.0,,True,120,119.98084259033203,0.9898989796638489,120.01,2.3678,120.19,9m,9m,5,7d,9m,7m,9m,9m,0.7907,9m,0.791,9m,0.7414,9m,0.8003,9m,0.7313,10m,0.6376,9m,0.7169
F0E1937D39E39F3D,Moderat,NEON RATS,131.0,131.0,0.0,0.17,131.0,,False,131,131.0,1.0,131.0,1.7941,130.83,12d,12d,5,1m,12d,1m,12d,1m,0.7583,1m,0.8002,12d,0.8442,12d,0.8392,1m,0.8616,12d,0.8581,12d,0.9064
92657C200C8EACDF,DJ Koze,XTC (Original Mix),118.0,118.0,0.0,0.16,118.0,,False,118,118.00941467285156,0.8826815485954285,117.96,2.2969,118.12,1d,1d,5,1d,1d,12m,1d,1d,0.8313,11m,0.7114,1d,0.8266,1d,0.8205,1d,0.7892,12d,0.6953,12d,0.8569
31DEE138BC3F0EAA,DJ Koze,I Want To Sleep,121.0,121.0,0.0,0.12,121.0,,False,121,121.0059814453125,0.9899497628211975,121.01,3.2674,120.89,3m,3m,5,3m,3m,11m,3m,3m,0.7777,3m,0.7509,3m,0.726,3m,0.7637,3m,0.7494,4m,0.5721,3m,0.5178
F1E5202A3AF2C305,Channel Tres,Sexy Black Timberlake,116.86,116.86,0.0,0.08,116.85,,True,117,116.8659896850586,0.9792746305465698,116.87,2.5873,116.79,3d,3d,5,3m,3d,12m,3d,3d,0.7466,3m,0.5845,3d,0.7975,3d,0.7517,3d,0.7507,2d,0.7036,2d,0.6742
1D9AA4601EDB0414,Black Loops,Velvet,126.01,126.01,0.0,0.05,126.0,,False,126,126.01339721679688,0.6580645442008972,126.01,2.2184,126.05,1d,1d,5,2m,1d,10m,1d,1d,0.8095,2m,0.7072,1d,0.8875,1d,0.8905,1d,0.8922,1d,0.8733,1d,0.8645
B0B8D7CE7C71D25D,Francis Inferno Orchestra,Harmony,123.01,123.01,0.0,0.05,123.0,,False,123,123.01683044433594,0.9800000190734863,123.01,2.675,123.05,1m,1m,5,12m,1m,12m,1m,1m,0.823,1m,0.8237,12m,0.7817,1m,0.7409,1m,0.8531,12d,0.8752,12d,0.8436
4C0C21464BE6AAC7,Lokke & Wodoo Wolcan,00deep und das gefährliche Unterstrassphantom,112.98,112.98,0.0,0.04,113.0,,True,113,113.0,1.0,112.97,3.0034,112.96,7d,7d,5,7m,7d,6m,7d,7d,0.6314,3m,0.4385,7d,0.6357,7d,0.6389,7d,0.661,7d,0.6678,7d,0.5578
F09FDE2C9B315F6B,Ninze,Cloud N°7,115.0,115.0,0.0,1.65,115.0,,True,115,115.0,1.0,116.49,3.2092,114.84,7d,7d,4,8m,7d,7m,7d,8m,0.7641,8m,0.7818,7d,0.8207,7d,0.7653,8m,0.821,7d,0.898,7d,0.9221
9E52E935F81BFC5A,Burial & Four Tet,Moth (Original Mix),117.53,117.53,0.0,0.64,117.62,,False,118,117.0,1.0,117.64,2.453,117.45,3d,3d,4,3d,3d,12m,3d,3d,0.8383,4m,0.6777,3d,0.8646,3d,0.8643,3d,0.8427,3d,0.7886,3d,0.7692
F189479E77E19F8B,PJ,"Everything In Its Right Place (House, Extended)",123.89,123.89,0.0,0.48,124.0,,True,124,124.0419692993164,0.9950000047683716,123.56,2.4619,123.78,10m,10m,4,1d,10m,10m,10m,10m,0.9079,10m,0.8626,10m,0.8452,10m,0.9114,10m,0.7906,10m,0.6524,9m,0.8174
