playlist_position,apple_music_id,artist,name,key,bpm,bpm_diff,transition_score,transition_type
74,7F73ED1E1D9E2D51,Ross from Friends,The Daisy,12,131.96710205078125,3.627410888671875,97.82355346679688,matching
75,F8FB70119A0E0A0C,Jon Hopkins,Vessel (Four Tet Remix),12,135.59451293945312,-2.594512939453125,96.44329223632812,boost
76,A6F2DF07E1682CD2,Daft Punk,Make Love,14,133.0,-3.00433349609375,98.19739990234375,matching
77,3E8BB320C4206697,Nils Frahm,Familiar (Original Mix),14,129.99566650390625,0.5125885009765625,97.69244689941405,boost
78,ECD6B2C532382FBE,Westbam feat. Nena,Oldschool Baby (Piano Mix),16,130.5082550048828,0.4917449951171875,97.70495300292968,boost
79,7D531212953B9F0D,SILK,Quiver,15,131.0,2.0,98.8,matching
80,B8C524D2E5DB34AB,Midland,Final Credits,18,133.0,-3.91119384765625,95.65328369140624,boost
81,D3630469057C2991,Jeigo,Pearl Leaf,20,129.08880615234375,1.971435546875,98.817138671875,matching
82,AB1775639471AB01,Miss Kittin & The Hacker,The Beach,20,131.06024169921875,-2.8782806396484375,98.27303161621094,matching
83,AFBA7DEDA127FF5C,The XX,On Hold (Jamie xx Remix),20,128.1819610595703,-2.1685638427734375,98.69886169433593,matching
84,9D9AA4601EDB0414,Black Loops,Velvet,20,126.01339721679688,0.0,100.0,matching
85,9CB511AB86A1CCAF,Literon,Machine I,20,126.01339721679688,-0.03942108154296875,99.8817367553711,matching
86,3CF4FFC5EFDDC171,Aluna & KAYTRANADA,The Recipe (Bella Boo Remix),20,125.9739761352539,-2.0108566284179688,98.79348602294922,matching
87,50E6FA29DAF01D26,Agoria,Dust,20,123.96311950683594,0.0368804931640625,99.97787170410156,matching
88,7F4533FB215CA362,Galcher Lustwerk,Outside the Club,20,124.0,0.00254058837890625,99.99847564697265,matching
89,0FAC2CC8F72BCE4E,Genius Of Time,Peace Bird,20,124.0025405883789,0.0,100.0,matching
90,8D3736BC4A750E53,Kalyma,Tokyo,20,124.0025405883789,0.0394287109375,99.9763427734375,matching
91,7189479E77E19F8B,PJ,"Everything In Its Right Place (House, Extended)",20,124.0419692993164,0.6702957153320312,99.59782257080079,matching
92,40F213BCA151C676,Tony Lionni,Found a Place,20,124.71226501464844,0.2759857177734375,99.83440856933593,matching
93,666658C1D3D21605,Luca Albano,Calinda (Francesco Bonora Remix),20,124.98825073242188,-2.0108413696289205,98.79349517822264,matching
94,D141F49D0DFBA52A,DJ Koze,Blume Der Nacht (Original Mix),20,122.97740936279295,0.02259063720704546,99.98644561767577,matching
95,9488CC99DFD56341,Guti,We Shall Overcome,20,123.0,0.0168304443359375,99.98990173339843,matching
96,11EB327D3516EA59,Fünf Sterne Deluxe,Schund (Super Flu’s No Champier Mix),20,123.01683044433594,0.0394287109375,99.9763427734375,matching
97,1E9533C576EC74EC,Aphex Twin,Windowlicker,20,123.05625915527344,-2.0502777099609375,98.76983337402343,matching
98,CA6173BA6EDA3E17,Panthera Krause,Through My Mind,17,121.0059814453125,0.0,100.0,matching
99,2EB2CA34ACE1C8B2,Aleksandir,Yamaha,20,121.0059814453125,0.9857177734375,99.4085693359375,matching
100,9B657917DDE8715F,Guy Gerber,What To Do (&ME Remix),20,121.99169921875,0.0,100.0,matching
101,DBA2330A0B253778,Ben Pearce,What I Might Do,20,121.99169921875,0.00830078125,99.99501953125,matching
102,DC8D5C366A147A5F,DJ Phono,Gone,20,122.0,0.543693542480483,99.67378387451171,matching
103,C9FAB4A481EA5430,Cerrone,Supernature,20,122.54369354248048,-2.523422241210966,98.48594665527341,matching
104,6534940AE7D7DECC,Jimpster,Porchlight And Rocking Chairs (KiNK Remix),20,120.02027130126952,-0.02027130126951704,99.93918609619145,matching
105,CF97745F1350A7F2,Keinemusik feat. Ali Love,Confusion,20,120.0,-0.01915740966795454,99.94252777099614,matching
106,718D44762441D685,Hunee,Rare Hapiness,20,119.98084259033205,0.0,100.0,matching
107,88439A02DF1A9AFD,Leon Vynehall,Butterflies,20,119.98084259033205,-2.9965591430664205,98.20206451416014,matching
108,B9BAACDDD3787B7A,Jacob Mikesh Filburt,At the Ranch (Lauer Remix),17,116.98428344726562,1.0251312255859375,99.38492126464843,matching
109,D96127ABBC0D0ADB,Underworld,Born Slippy (Alma & Mater Edit),20,118.00941467285156,0.15771484375,99.90537109375,matching
110,1659CB55BA67DBDB,Hodini,Chronic Gangster Boogie,20,118.16712951660156,0.07886505126953125,99.95268096923829,matching
111,D68D70A4A1CE7A12,Jamie XX,Sleep Sound,20,118.2459945678711,-2.2474288940429688,98.65154266357422,matching
112,DA1B6D51BAE14FCA,Glok,That Time of Night,20,115.99856567382812,0.9857177734375,97.4085693359375,boost
113,9BFEE25686980D5E,Round,Lucky Star,22,116.98428344726562,1.015716552734375,99.39057006835938,matching
114,64DC58AA7B1DF31E,Axel Boman,Hello,22,118.0,0.0094146728515625,99.99435119628906,matching
115,700223D6C6B750AB,Jitwam,Whereyougonnago?,22,118.00941467285156,0.0,100.0,matching
116,A3C40FC63B65D4C1,Talaboman,Loser’s Hymn,22,118.00941467285156,0.9857177734375,99.4085693359375,matching
117,EE4FD35EE54F13DE,Superpitcher feat. Fantastic Twins,Brothers,22,118.99513244628906,0.0,100.0,matching
118,5C02BB77C8212A52,The Invisible feat. Connan Mockasin,K Town Sunset (Tee Mango Summer Daze Revision),22,118.99513244628906,0.0048675537109375,99.99707946777343,matching
119,88BD83E96720653E,DJ Koze,Seeing Aliens,22,119.0,0.0,100.0,matching
120,CDD2259D7BF5CBEE,FCL,It's You (San Soda's Panorama Bar Version),22,119.0,0.9808425903320455,99.41149444580077,matching
121,A16C6CD0D8ED4FF3,Kiasmos,Looped,22,119.98084259033205,0.0,100.0,matching
122,49571F4CEC1ED5F4,Round,Glass,22,119.98084259033205,0.0,100.0,matching
123,7025321382DA4E81,Fango,Betta,22,119.98084259033205,0.01915740966795454,99.98850555419922,matching
124,6B6BDDD46026E033,Lady Alma,It's House Music,22,120.0,0.0,100.0,matching
125,BE5774F3F7048483,Jackmate feat. Nik Reiff,Pacemaker,22,120.0,0.0,100.0,matching
126,9D132A540BB1E3BB,Powel,I Don't Waste My Tears on You,22,120.0,0.0,100.0,matching
127,8B621477B8A7D2EC,Róisín Murphy,You Knew,22,120.0,0.02027130126951704,99.98783721923829,matching
128,523C23CABEB5894F,Fort Romeau,Secrets & Lies,22,120.02027130126952,0.0,100.0,matching
129,0C0909A419F9090F,Leafar Legov,Cenote,22,120.02027130126952,0.0,100.0,matching
130,0CFE13D333589EAA,Osunlade,Dionne,22,120.02027130126952,0.630851745605483,99.62148895263671,matching
131,0A3CC2B09F9F58EC,Moodymann,Shades Of Jae,22,120.651123046875,0.3154296875,99.8107421875,matching
132,6467A2579072D4BC,Black Loops,Sex,22,120.966552734375,0.033447265625,99.979931640625,matching
133,101AABA21FF35C60,DJ Phono,Knarhcslhük Mi Ttinhcsfua Hcon Ebah Hci,22,121.0,0.0059814453125,99.9964111328125,matching
134,B1DEE138BC3F0EAA,DJ Koze,I Want To Sleep,22,121.0059814453125,0.9857177734375,99.4085693359375,matching
135,6785D78D410B38EC,Agoria,Solarized,22,121.99169921875,0.00830078125,99.99501953125,matching
136,1A50EE5E8F861935,DJ Boring,Winona,22,122.0,1.0,99.4,matching
137,C037FE4D70AB3631,Kings of Tomorrow feat. April,Fall for You (Sandy Rivera's Classic Mix),22,123.0,0.0168304443359375,99.98990173339843,matching
138,97B4330D61A5C815,Isaac Tichauer,Higher Level (Bicep Remix),22,123.01683044433594,0.9831695556640625,99.41009826660155,matching
139,A511CA917F76BFD9,Pachanga Boys,Time,22,124.0,0.00254058837890625,99.99847564697265,matching
140,DA7139B203A4BC30,Zone+,Infinite Galaxy,22,124.0025405883789,0.15771484375,99.90537109375,matching
141,730FD573AA905C49,Blaze,Lovelee Dae (Original),22,124.1602554321289,0.8279953002929688,99.50320281982422,matching
142,50D59B35BE5EF64D,Marie Davidson,Work It (Soulwax Remix),22,124.98825073242188,0.0,100.0,matching
143,3A2C87BDAF8EF848,Robag Wruhme,Calma Calma,22,124.98825073242188,0.630859375,99.621484375,matching
144,40201242B8135B45,Superpitcher,Mushroom,22,125.61911010742188,0.35486602783203125,99.78708038330078,matching
145,05E680630CBAEC4A,Dauwd,Ikopol,22,125.9739761352539,0.03942108154296875,99.97634735107422,matching
146,A48D72C9CCB20056,DJ Seinfeld,U (Original Mix),19,126.01339721679688,0.9462814331054688,99.43223114013671,matching
147,163A3D933E88D59E,AURORA,Some Type Of Skin (Sofia Kourtesis Remix),19,126.95967864990234,1.1434249877929688,99.31394500732421,matching
148,FF339AAC12FC35D1,Tom Bioly,Street Beat (Map.ache Remix),22,128.1031036376953,0.9462890625,99.4322265625,matching
149,CFA902E3391D9161,The Cure,Alone (Four Tet Remix),22,129.0493927001953,3.903411865234375,97.65795288085937,matching
150,BFC1D10C4232E18A,Raphael Schön,Energy,22,132.9528045654297,1.0471954345703125,99.3716827392578,matching
151,A6331470FB5B82FA,Fred again..,Delilah (pull me out of this),22,134.0,4.0,97.6,matching
152,1ED9213664B23254,Moderat,EASY PREY,22,138.0,1.9710845947265625,96.81734924316406,boost
153,FD47F9DD09DC4CB0,Joy Orbison,flight fm,24,139.97108459472656,-2.7994232177734375,96.32034606933593,boost
154,66F780AAFA6BE763,Albion,Air (Oliver Lieb Remix) Remastered,2,137.17166137695312,-2.1685791015625,98.6988525390625,matching
155,E7FBE81F34F2ABF3,not even noticed,Affected,2,135.00308227539062,,,
