playlist_position,apple_music_id,artist,name,key,bpm,bpm_diff,transition_score,transition_type
98,-3863679760746267113,Panthera Krause,Through My Mind,17,121.0059814453125,0.0,100.0,matching
99,3364974199186770098,Aleksandir,Yamaha,20,121.0059814453125,0.9857177734375,99.4085693359375,matching
100,-7249254881768738465,Guy Gerber,What To Do (&ME Remix),20,121.99169921875,0.0,100.0,matching
101,-2620475914946529416,Ben Pearce,What I Might Do,20,121.99169921875,0.00830078125,99.99501953125,matching
102,-2554284024871486881,DJ Phono,Gone,20,122.0,0.543693542480483,99.67378387451171,matching
103,-3892600309261118416,Cerrone,Supernature,20,122.54369354248048,-2.523422241210966,98.48594665527341,matching
104,7292616471179943628,Jimpster,Porchlight And Rocking Chairs (KiNK Remix),20,120.02027130126952,-0.02027130126951704,99.93918609619145,matching
105,-3488191434680391694,Keinemusik feat. Ali Love,Confusion,20,120.0,-0.01915740966795454,99.94252777099614,matching
106,8182271372207183493,Hunee,Rare Hapiness,20,119.98084259033205,0.0,100.0,matching
107,-8627883123988063491,Leon Vynehall,Butterflies,20,119.98084259033205,-2.9965591430664205,98.20206451416014,matching
108,-5063544762289063046,Jacob Mikesh Filburt,At the Ranch (Lauer Remix),17,116.98428344726562,1.0251312255859375,99.38492126464843,matching
109,-2782899476190393637,Underworld,Born Slippy (Alma & Mater Edit),20,118.00941467285156,0.15771484375,99.90537109375,matching
110,1610541910821690331,Hodini,Chronic Gangster Boogie,20,118.16712951660156,0.07886505126953125,99.95268096923829,matching
111,-2986607125485159918,Jamie XX,Sleep Sound,20,118.2459945678711,-2.2474288940429688,98.65154266357422,matching
112,-2730468551274967094,Glok,That Time of Night,20,115.99856567382812,0.9857177734375,97.4085693359375,boost
113,-7206073492493038242,Round,Lucky Star,22,116.98428344726562,1.015716552734375,99.39057006835938,matching
114,7267781387902382878,Axel Boman,Hello,22,118.0,0.0094146728515625,99.99435119628906,matching
115,8071052887565226155,Jitwam,Whereyougonnago?,22,118.00941467285156,0.0,100.0,matching
116,-6646169806017538879,Talaboman,Loser’s Hymn,22,118.00941467285156,0.9857177734375,99.4085693359375,matching
117,-1274567764995009570,Superpitcher feat. Fantastic Twins,Brothers,22,118.99513244628906,0.0,100.0,matching
118,6630067724575910482,The Invisible feat. Connan Mockasin,K Town Sunset (Tee Mango Summer Daze Revision),22,118.99513244628906,0.0048675537109375,99.99707946777343,matching
119,-8593567475472243394,DJ Koze,Seeing Aliens,22,119.0,0.0,100.0,matching
120,-3615786192505287698,FCL,It's You (San Soda's Panorama Bar Version),22,119.0,0.9808425903320455,99.41149444580077,matching
121,-6814952491869974541,Kiasmos,Looped,22,119.98084259033205,0.0,100.0,matching
122,5284727102981985780,Round,Glass,22,119.98084259033205,0.0,100.0,matching
123,8080920165767335553,Fango,Betta,22,119.98084259033205,0.01915740966795454,99.98850555419922,matching
124,7740524288782295091,Lady Alma,It's House Music,22,120.0,0.0,100.0,matching
125,-4731184292359273341,Jackmate feat. Nik Reiff,Pacemaker,22,120.0,0.0,100.0,matching
126,-7128307244735536197,Powel,I Don't Waste My Tears on You,22,120.0,0.0,100.0,matching
127,-8403131450288254228,Róisín Murphy,You Knew,22,120.0,0.02027130126951704,99.98783721923829,matching
128,5925650563402664271,Fort Romeau,Secrets & Lies,22,120.02027130126952,0.0,100.0,matching
129,867235003660568847,Leafar Legov,Cenote,22,120.02027130126952,0.0,100.0,matching
130,936207570360114858,Osunlade,Dionne,22,120.02027130126952,0.630851745605483,99.62148895263671,matching
131,737678502829971692,Moodymann,Shades Of Jae,22,120.651123046875,0.3154296875,99.8107421875,matching
132,7234929823363290300,Black Loops,Sex,22,120.966552734375,0.033447265625,99.979931640625,matching
133,1160428566810418272,DJ Phono,Knarhcslhük Mi Ttinhcsfua Hcon Ebah Hci,22,121.0,0.0059814453125,99.9964111328125,matching
134,-5629814850373874006,DJ Koze,I Want To Sleep,22,121.0059814453125,0.9857177734375,99.4085693359375,matching
135,7459605359490709740,Agoria,Solarized,22,121.99169921875,0.00830078125,99.99501953125,matching
136,1896277533025245493,DJ Boring,Winona,22,122.0,1.0,99.4,matching
137,-4595925286152096207,Kings of Tomorrow feat. April,Fall for You (Sandy Rivera's Classic Mix),22,123.0,0.0168304443359375,99.98990173339843,matching
138,-7515325745608669163,Isaac Tichauer,Higher Level (Bicep Remix),22,123.01683044433594,0.9831695556640625,99.41009826660155,matching
139,-6552233256589803559,Pachanga Boys,Time,22,124.0,0.00254058837890625,99.99847564697265,matching
140,-2706318464344867792,Zone+,Infinite Galaxy,22,124.0025405883789,0.15771484375,99.90537109375,matching
141,8291080131771915337,Blaze,Lovelee Dae (Original),22,124.1602554321289,0.8279953002929688,99.50320281982422,matching
142,5824732348203071053,Marie Davidson,Work It (Soulwax Remix),22,124.98825073242188,0.0,100.0,matching
143,4191874601939040328,Robag Wruhme,Calma Calma,22,124.98825073242188,0.630859375,99.621484375,matching
144,4620713295447546693,Superpitcher,Mushroom,22,125.61911010742188,0.35486602783203125,99.78708038330078,matching
145,425168377736784970,Dauwd,Ikopol,22,125.9739761352539,0.03942108154296875,99.97634735107422,matching
146,-6589484468724957098,DJ Seinfeld,U (Original Mix),19,126.01339721679688,0.9462814331054688,99.43223114013671,matching
147,1601660320102274462,AURORA,Some Type Of Skin (Sofia Kourtesis Remix),19,126.95967864990234,1.1434249877929688,99.31394500732421,matching
148,-57532306382113327,Tom Bioly,Street Beat (Map.ache Remix),22,128.1031036376953,0.9462890625,99.4322265625,matching
149,-3483249661855297183,The Cure,Alone (Four Tet Remix),22,129.0493927001953,3.903411865234375,97.65795288085937,matching
150,-4629189091379715702,Raphael Schön,Energy,22,132.9528045654297,1.0471954345703125,99.3716827392578,matching
151,-6470805764115299590,Fred again..,Delilah (pull me out of this),22,134.0,4.0,97.6,matching
152,2222844408585400916,Moderat,EASY PREY,22,138.0,1.9710845947265625,96.81734924316406,boost
153,-195913331018806096,Joy Orbison,flight fm,24,139.97108459472656,-2.7994232177734375,96.32034606933593,boost
154,7419540382950352739,Albion,Air (Oliver Lieb Remix) Remastered,2,137.17166137695312,-2.1685791015625,98.6988525390625,matching
155,-1730534411063874573,not even noticed,Affected,2,135.00308227539062,,,
