apple_music_id,artist,name,key,bpm,djay_bpm,djay_manual_bpm,apple_music_bpm,djay_am_bpm_diff,open_key,comment,key_diff
6057117848794901314,Arutani & Faber,Summon Ghosts,,115.0,115.0,,115,0.0,Key 11m,Key 11m,+0
3890875623303360691,Axel Boman,Eyes Of My Mind,,122.0,122.0,,122,0.0,Key 1d,Key 1d,+0
-1955590648952392930,Axel Boman,Hello,,118.0,118.0,,118,0.0,Key 11m,Key 11m,+0
-5760345974743762960,Axel Boman,Purple Drank,,119.0,119.0,,119,0.0,Key 3m,Key 3m,+0
-1345405382556863012,Behling and Simpson,Left Behind,,113.0,113.0,,113,0.0,Key 2m,Key 2m,+0
5630613999294536276,Bibio,Lovers Carvings (Catz 'n Dogz Re-edit),,122.0,122.0,,122,0.0,Key 9m,Key 9m,+0
-4336282834212606353,Bicep,Just (Original Mix),,120.0,120.0,,120,0.0,Key 12m,Key 12m,+0
-568798213694166175,COMA,Lora (Robag's Fandara Qualv NB),,119.0,119.0,,119,0.0,Key 3d,Key 3m,+0*
-7169012602955485702,Constantijn Lange,Snagsens Delight,,93.0,93.0,,93,0.0,Key 6m,Key 6m,+0
6529080097303897323,DAMH,Black Night,,120.0,120.0,,120,0.0,Key 2m,Key 2m,+0
-6601070336429445998,Daniel Bortz,Boyz 2 Men (Original Mix),,120.0,120.0,,120,0.0,Key 1m,Key 1m,+0
-4757175869218425655,Daniel Bortz,Wohin Willst Du?,,120.0,120.0,,120,0.0,Key 12m,Key 12m,+0
-2177980953182480184,Dave DK,Don't Eat The Homies,,121.0,121.0,,121,0.0,Key 6m,Key 6m,+0
664119657854388720,Dave DK,Jelly Legs,,120.0,120.0,,120,0.0,Key 6d,Key 6m,+0*
1094811722511994953,Dave DK,Will Be Gone,,122.0,122.0,,122,0.0,Key 7m,Key 7m,+0
1789459631927062184,David August,Epikur,,118.0,118.0,,118,0.0,Key 9m,Key 9m,+0
629804561382532414,DJ Koze,Seeing Aliens,,119.0,119.0,,119,0.0,Key 11d,Key 11m,+0*
-2285177982199502665,DJ Koze,My Grandmotha,,118.01,118.01,,118,0.01,Key 8d,Key 8d,+0
3157503393842217991,DJ Koze,Buschtaxi (Extended Version),,120.0,120.0,,120,0.0,Key 4m,Key 4m,+0
-8772676235962720807,DJ Koze feat. Ada,Homesick,,97.0,97.0,,97,0.0,Key 1m,Key 1m,+0
644566616497295789,DJ Koze feat. Apparat,Nices Wölkchen,,120.0,120.0,,120,0.0,Key 8d,Key 8d,+0
6877959556069690737,DJ Koze feat. Arnim Teutoburg-Weiß und The Düsseldorf Düsterboys,Wie schön du bist,,117.0,117.0,,117,0.0,Key 9m,Key 9m,+0
6669088011983288927,DJ Phono,Gone,,122.0,122.0,,122,0.0,Key 10m,Key 10m,+0
-8062943470044357536,DJ Phono,Knarhcslhük Mi Ttinhcsfua Hcon Ebah Hci,,121.0,121.0,,121,0.0,Key 11m,Key 11m,+0
-4131925009697991208,Dominik Eulberg,Sansula (Max Cooper's Lost In Sound Mix),,121.0,121.0,,121,0.0,Key 1m,Key 1m,+0
623410646784030503,Dorisburg,Emotion,,122.0,122.0,,122,0.0,Key 1m,Key 1m,+0
-5639804195476274594,Dorothy's Ghost,Never Said Goodbye (Lee Waxman's Long Hot Disco Mix),,115.0,115.0,,115,0.0,Key 12m,Key 12m,+0
3321866976242804566,Dürerstuben,Trunce Zen Dance,,116.0,116.0,,116,0.0,Key 7m,Key 7m,+0
-5307417430491785433,dwig,one for good,,97.5,97.5,,98,-0.5,Key 7m,Key 7m,+0
3364475017115294024,ELIXIR,Aconite,,111.0,111.0,,111,0.0,Key 9m,Key 9m,+0
-1142451871087440255,Fango,Betta,,120.0,120.0,,120,0.0,Key 11m,Key 11m,+0
-3297721473452111537,Fort Romeau,Secrets & Lies,,120.0,120.0,,120,0.0,Key 11m,Key 11m,+0
-6326260578464213578,Frank & Tony feat. Gry,Bring the Sun (Vocal),,114.0,114.0,,114,0.0,Key 1m,Key 1m,+0
-8007705447946019559,Frankey & Sandrino,Acamar,,120.0,120.0,,120,0.0,Key 1m,Key 1m,+0
-4906264432296496955,Fred again..,Bleu (better with time),,122.0,122.0,,122,0.0,Key 6d,Key 6m,+0*
5501887514845528421,Galcher Lustwerk,Parlay,,119.0,119.0,,119,0.0,Key 8m,Key 8m,+0
833952629755050,Galcher Lustwerk,Put On,,121.5,121.5,,122,-0.5,Key 3m,Key 3m,+0
-446766022501049772,Galcher Lustwerk,I Neva Seen,,118.0,118.0,,118,0.0,Key 9m,Key 9m,+0
6492903485579808714,Glok,That Time of Night,,116.0,116.0,,116,0.0,Key 10m,Key 10m,+0
8986200716704961337,Gregor Schwellenbach feat. Christian Buck,Superpitcher’s Tomorrow,,94.0,94.0,,94,0.0,Key 2d,Key 2m,+0*
8512659358000451275,Guti,Patio de juegos,,122.0,122.0,,122,0.0,Key 3m,Key 3m,+0
1974117155086037343,Guy Gerber,What To Do (&ME Remix),,122.0,122.0,,122,0.0,Key 10m,Key 10m,+0
2118039170142216861,Gwilym Gold & Doc Daneeka,Lust For Sale (MGF Mix),,121.0,121.0,,121,0.0,Key 9m,Key 9m,+0
1739816367822923873,Herbert,It's Only (DJ Koze Remix),,118.0,118.0,,118,0.0,Key 4m,Key 4m,+0
-7162002396809533115,HNNY,12 00,,118.0,118.0,,118,0.0,Key 9m,Key 9m,+0
-3634902526328489924,Hot Natured,Benediction,,116.0,116.0,,116,0.0,Key 1m,Key 1m,+0
-2593304312278865326,The Invisible feat. Connan Mockasin,K Town Sunset (Tee Mango Summer Daze Revision),,119.0,119.0,,119,0.0,Key 11m,Key 11m,+0
4945362780685598928,Iron Curtis,Lucent (Original Mix),,119.0,119.0,,119,0.0,Key 9m,Key 9m,+0
4730276846874544397,Isolee,I Like It Here Can I Stay,,120.0,120.0,,120,0.0,Key 1m,Key 1m,+0
7902396916514851131,Isolée,Allowance,,120.0,120.0,,120,0.0,Key 1m,Key 1m,+0
4492187744495502467,Jackmate feat. Nik Reiff,Pacemaker,,120.0,120.0,,120,0.0,Key 11m,Key 11m,+0
-5763333568490936263,Jacob Mikesh Filburt,Philipp Dolphia,,116.0,116.0,,116,0.0,Key 7d,Key 7m,+0*
393292672924426404,Jamie XX feat. Young Thug & Popcaan,I Know There's Gonna Be (Good Times),,89.5,89.5,,90,-0.5,Key 3m,Key 3m,+0
