song_id,key,bpm
Mano Le Tough - Energy Flow (DJ Koze's Miles&More Remix),18,124.0
DJ Linus - Are You Ready?,6,124.0
Guti & Dubshape - Every Cow Has A Bird,10,124.0
Agoria - Dust,20,124.0
Stardust - Music Sounds Better With You,18,124.0
Robag Wruhme - Lampetee,16,125.0
Marshall Jefferson & Noosa Heads - Mushrooms (Justin Martin Mix),10,125.0
Gui Boratto - Arquipelago (Original Mix),4,125.0
Fred again.. - Tate (How I Feel),1,125.0
Rita Lee & Axel Boman - Lança Perfume (Axel Boman Remix),5,125.0
Superpitcher - Rabbits In A Hurry (Sascha Funkes JD Is The One Rabbits Remix),6,125.0
Luca Albano - Calinda (Francesco Bonora Remix),20,125.0
Mount Kimbie - Made To Stray (DJ Koze Remix),14,125.0
Marie Davidson - Work It (Soulwax Remix),22,125.0
DJ Koze - Pick Up,23,125.0
Kiasmos - Blurred (Bonobo Remix),10,125.0
Guti - All The Girls,2,125.0
Shingo Nakamura & Kazusa - Move On (Tim Engelhardt Love Mix),14,125.0
Daniel Mehlhart - Nebelschwaden,14,125.0
Ada - Faith,8,125.0
DJ Seinfeld - U (Original Mix),19,126.0
Bella Boo - True Romance (Maja Edit),18,126.0
Nina Simone & HONNE - My Baby Just Cares For Me (HONNE Remix),21,126.0
The MFA - The Difference It Makes (Superpitcher Mix),7,126.0
Black Loops - Velvet,20,126.0
Superpitcher - Mushroom,22,126.0
Andre Lodemann - Where Are You Now,18,126.0
Overmono - Good Lies,18,126.0
Galcher Lustwerk - In the Place,22,126.0
Soulful Session & Lynn Lockamy - Hostile Takeover,2,126.0
Bonobo feat. O’Flynn - Otomo,4,126.0
Marcel Fengler - Jaz,5,126.0
Ross from Friends - Talk To Me You'll Understand,10,126.0
Map.ache - Thank U Again,10,127.0
Jamie xx - Far Nearer,2,127.0
Roy Of The Ravers - Emotinium (Roy Of The Ravers Secret Mix),18,127.0
Ross From Friends - Epiphany,12,127.0
Daphni - Tin,2,127.0
Bicep - Opal (Four Tet Remix),2,127.0
Four Tet - Baby,24,127.0
Tom Bioly - Street Beat (Map.ache Remix),22,128.0
Soul Capsule - Lady Science (NYC Sunrise),4,128.0
Caribou - Never Come Back,24,128.0
Jasper Tygner - Need You (Extended Edit),8,128.0
Westbam feat. Richard Butler - You Need the Drugs,12,128.0
Head High - Break Away,2,128.0
Larry Heard & Mr. White - The Sun Can't Compare (Long Version),2,128.0
Daso - T. Anders,2,128.0
Yaeji - Raingurl,6,128.0
The XX - On Hold (Jamie xx Remix),20,128.0
Caribou - Sun,14,128.0
Caribou - Can't Do Without You,2,128.0
The Cure - Alone (Four Tet Remix),22,129.0
Jeigo - Pearl Leaf,20,129.0
Gorillaz feat. D.R.A.M. - Andromeda (Bonobo Remix),2,130.0
Fred again.. - Danielle (smile on my face),23,130.0
Bicep - Glue (Original Mix),4,130.0
Nils Frahm - Familiar (Original Mix),14,130.0
Jean Jacques Smoothie - 2 People,6,130.0
SILK - Quiver,15,131.0
Moderat - NEON RATS,2,131.0
Ross from Friends - The Daisy,12,132.0
Raphael Schön - Energy,22,133.0
Sofia Kourtesis & Daphni - Unidos,4,133.0
Four Tet - Lush,10,133.0
Daft Punk - Make Love,21,133.0
Daphni - Cloudy (Kelbin Remix),6,134.0
Burial & Four Tet - Moth (Original Mix),24,134.0
Fred again.. - Delilah (pull me out of this),22,134.0
not even noticed - Affected,2,135.0
"Jamie xx, Romy & Oliver Sim - Waited All Night",4,136.0
Jon Hopkins - Vessel (Four Tet Remix),12,136.0
Barry Can't Swim - Fiorucci Made Me Hardcore,4,137.0
Moderat - EASY PREY,22,138.0
Joy Orbison - flight fm,24,140.0
Caribou - Julia Brightly,3,140.0
Róisín Murphy - What Not To Do,22,149.0
Fred again.. - Dermot (See Yourself In My Eyes),1,150.0
DJ Heartstring - BAE,2,150.0
Everything But The Girl - Walking Wounded,10,156.0
Calibre - Things like This,24,175.0
Dntel - (This Is) The Dream of Evan and Chan (Superpitcher Kompakt Remix),18,127.0
