apple_music_id,edma_key,edma_strength,edmm_key,edmm_strength,bgate_key,bgate_strength,shaath_key,shaath_strength,braw_key,braw_strength,temperley_key,temperley_strength,noland_key,noland_strength
2046513497809162345,Key 11m,0.9588,Key 11m,0.9432,Key 11m,0.9702,Key 11m,0.9182,Key 11m,0.9208,Key 11d,0.7327,Key 11m,0.914
2068579032242441391,Key 12d,0.5259,Key 9m,0.5223,Key 9m,0.5144,Key 12d,0.5508,Key 12d,0.5077,Key 9m,0.7332,Key 9m,0.6161
2095064792119239611,Key 11m,0.8397,Key 11m,0.8815,Key 11d,0.8542,Key 11m,0.9237,Key 11d,0.8153,Key 11d,0.8245,Key 10d,0.9111
2118039170142216861,Key 9m,0.895,Key 9m,0.9258,Key 9m,0.8653,Key 9m,0.9419,Key 9m,0.8201,Key 9d,0.785,Key 9m,0.8286
2133198106254836756,Key 1d,0.8095,Key 2m,0.7072,Key 1d,0.8875,Key 1d,0.8922,Key 1d,0.8905,Key 1d,0.8733,Key 1d,0.8645
2206076455905859951,Key 2m,0.9712,Key 2m,0.9647,Key 2m,0.9498,Key 2m,0.9324,Key 2m,0.9223,Key 2m,0.7195,Key 2m,0.8917
2408419544984801267,Key 11m,0.9548,Key 11m,0.9607,Key 11m,0.9326,Key 11m,0.9547,Key 11m,0.9074,Key 11m,0.7332,Key 11m,0.8581
2491857609402798360,Key 12m,0.8574,Key 1m,0.8553,Key 12m,0.875,Key 1m,0.8185,Key 12m,0.8509,Key 12d,0.6744,Key 12m,0.8948
2577202230837236929,Key 11m,0.9516,Key 11m,0.9127,Key 11m,0.9416,Key 11m,0.8533,Key 11m,0.9573,Key 11m,0.7113,Key 11m,0.8922
2633887568129818710,Key 10d,0.9302,Key 10m,0.74,Key 10d,0.9535,Key 10d,0.9635,Key 10d,0.9623,Key 10d,0.8683,Key 10d,0.84
2651642248259342800,Key 10m,0.8753,Key 10m,0.8822,Key 10m,0.8956,Key 10m,0.8617,Key 10m,0.8038,Key 10d,0.805,Key 10m,0.9169
2671138780264972249,Key 11m,0.78,Key 11m,0.7507,Key 12d,0.8494,Key 12d,0.756,Key 12d,0.7966,Key 11d,0.7016,Key 10m,0.9104
2675351213172789973,Key 12d,0.8582,Key 12m,0.7504,Key 12d,0.9431,Key 12d,0.8806,Key 12d,0.901,Key 12d,0.8152,Key 11d,0.8944
2682859174307266171,Key 4m,0.8738,Key 4m,0.9061,Key 4m,0.8578,Key 4m,0.8965,Key 4m,0.8199,Key 4d,0.7995,Key 4m,0.8501
