apple_music_id,edma_key,edma_strength,edmm_key,edmm_strength,bgate_key,bgate_strength,shaath_key,shaath_strength,braw_key,braw_strength,temperley_key,temperley_strength,noland_key,noland_strength,bpm_rhythm,bpm_rhythm_confidence,bpm_percival
57018B55099B6D2E,Key 3m,0.7054,Key 3m,0.6778,Key 3m,0.7085,Key 3m,0.6741,Key 3m,0.6489,Key 2d,0.5378,Key 2d,0.6297,112.5,3.2974,113.58
57128F04991AE3CC,Key 2m,0.8013,Key 2m,0.8595,Key 2d,0.7842,Key 2m,0.9194,Key 2d,0.7696,Key 2m,0.7378,Key 1d,0.7641,123.1,3.6357,123.05
5771C71F6D0F631C,Key 4m,0.9437,Key 4m,0.9099,Key 4m,0.9426,Key 4m,0.8509,Key 4m,0.9395,Key 4m,0.7927,Key 4m,0.827,117.16,3.169,116.79
5945D30199512AFA,Key 11m,0.8834,Key 11m,0.9172,Key 11m,0.8803,Key 11m,0.9315,Key 11m,0.7872,Key 11d,0.8849,Key 11m,0.8976,103.0,1.8241,102.34
596127ABBC0D0ADB,Key 10d,0.801,Key 11m,0.6924,Key 10d,0.8707,Key 10d,0.8843,Key 10d,0.8736,Key 10d,0.8779,Key 10d,0.851,117.96,2.7135,118.12
5A1B6D51BAE14FCA,Key 10m,0.8702,Key 10m,0.9049,Key 10m,0.8463,Key 10m,0.9219,Key 10m,0.7674,Key 9d,0.7762,Key 9d,0.8777,116.01,3.5364,116.13
5A278E3189BEE4D1,Key 6d,0.7028,Key 6m,0.7038,Key 6d,0.6725,Key 6m,0.7085,Key 6d,0.7374,Key 6d,0.5908,Key 6d,0.5737,147.19,0.9304,147.66
5A7139B203A4BC30,Key 11m,0.8478,Key 11m,0.8886,Key 11d,0.8149,Key 11m,0.9457,Key 11d,0.7706,Key 10d,0.8419,Key 10d,0.8628,124.0,2.8844,123.78
5A9BF3C185DF24EB,Key 2m,0.8341,Key 2m,0.8205,Key 2m,0.8528,Key 2m,0.7742,Key 2m,0.7724,Key 2d,0.7282,Key 1m,0.9086,120.03,2.5675,119.84
5ADAE87D89FC969B,Key 1m,0.869,Key 1m,0.9003,Key 1m,0.9031,Key 1m,0.8889,Key 1m,0.7855,Key 1d,0.8442,Key 1d,0.9184,125.98,2.7766,126.05
5ADCCB53D961D8BC,Key 5m,0.819,Key 5m,0.879,Key 5d,0.8036,Key 5m,0.8858,Key 5d,0.7841,Key 5d,0.762,Key 5d,0.8339,122.97,2.7855,123.05
5AEE4E32856F28B8,Key 4d,0.8232,Key 4m,0.6468,Key 4d,0.8627,Key 4d,0.8709,Key 4d,0.8477,Key 4d,0.8293,Key 4d,0.7918,125.99,1.6018,126.05
5BA2330A0B253778,Key 10m,0.8065,Key 10m,0.779,Key 10m,0.8281,Key 10m,0.7322,Key 10m,0.8119,Key 10d,0.5965,Key 10m,0.7364,122.41,1.9822,122.32
5C8D5C366A147A5F,Key 10d,0.8272,Key 10m,0.7901,Key 10d,0.8895,Key 10d,0.9176,Key 10d,0.8821,Key 10d,0.917,Key 10d,0.8687,121.99,2.271,122.32
5CCDC20B047FFD66,Key 6m,0.8995,Key 6m,0.8847,Key 6m,0.8929,Key 6m,0.8688,Key 6m,0.8744,Key 6m,0.6963,Key 6m,0.7993,131.01,2.3106,130.83
5CD77C179587250F,Key 4m,0.9136,Key 4m,0.9465,Key 4m,0.8802,Key 4m,0.9775,Key 4m,0.8218,Key 4d,0.7749,Key 4m,0.8173,123.0,1.4339,123.05
5D4E1CBF05F9ABD7,Key 1m,0.9509,Key 1m,0.9008,Key 1m,0.915,Key 1m,0.8833,Key 1m,0.958,Key 1m,0.6366,Key 1m,0.732,123.53,1.4771,123.78
5DE7922B6C97D58E,Key 1d,0.7801,Key 1m,0.7633,Key 1d,0.8508,Key 1d,0.8543,Key 1d,0.827,Key 1d,0.8092,Key 1d,0.8769,128.01,3.5545,128.4
5E92A12B4203D93C,Key 2d,0.6615,Key 12m,0.5769,Key 2d,0.7653,Key 1d,0.6898,Key 2d,0.6548,Key 1d,0.6953,Key 1d,0.7898,119.97,2.8729,120.19
5F59829A39B08FA2,Key 1m,0.8003,Key 1m,0.8512,Key 1m,0.8583,Key 1m,0.8301,Key 1m,0.7522,Key 1m,0.8693,Key 1m,0.8451,125.01,3.0284,125.28
5F736BC677098D71,Key 9m,0.904,Key 9m,0.9286,Key 9m,0.8947,Key 9m,0.9289,Key 9m,0.8082,Key 9d,0.8214,Key 9d,0.8877,117.15,1.7741,116.79
60BADF9A71A218AF,Key 11m,0.8579,Key 11m,0.8739,Key 11m,0.813,Key 11m,0.8126,Key 11m,0.8475,Key 11m,0.7182,Key 11m,0.8097,120.04,1.6353,119.84
648232C028DB3900,Key 1m,0.9553,Key 1m,0.918,Key 1m,0.921,Key 1m,0.8669,Key 1m,0.9508,Key 1m,0.7434,Key 1m,0.7963,119.98,1.8677,120.19
66281758FB9B3320,Key 2m,0.7662,Key 2m,0.78,Key 2m,0.7927,Key 2m,0.8165,Key 2m,0.6988,Key 2d,0.7359,Key 2d,0.7801,128.02,1.7704,128.4
674B680BA2554CBD,Key 3d,0.8258,Key 12m,0.7824,Key 12m,0.8198,Key 2d,0.7383,Key 12m,0.8532,Key 2d,0.721,Key 1d,0.7932,111.01,2.8948,111.14
67779860694F2FA7,Key 12m,0.8615,Key 12m,0.8464,Key 12m,0.7956,Key 12m,0.8084,Key 12m,0.8449,Key 12m,0.6673,Key 11m,0.7673,122.99,2.7216,123.05
67A577EC2C670048,Key 2d,0.8957,Key 11m,0.6405,Key 2d,0.8938,Key 2d,0.9022,Key 2d,0.8884,Key 2d,0.8069,Key 1d,0.7876,117.88,1.6849,118.12
67FBE81F34F2ABF3,Key 2m,0.775,Key 1m,0.7699,Key 1m,0.8047,Key 1m,0.7797,Key 2m,0.7109,Key 1d,0.9055,Key 1d,0.8632,135.02,3.207,135.11
68D8D67B01C2FE0D,Key 9m,0.9402,Key 9m,0.8974,Key 9m,0.9152,Key 12d,0.8272,Key 9m,0.97,Key 12d,0.6076,Key 9m,0.8132,131.62,3.3,131.67
6A3412E39F12BDCC,Key 1d,0.7805,Key 2m,0.7634,Key 1d,0.8538,Key 2m,0.8484,Key 1d,0.8521,Key 1d,0.8528,Key 1d,0.8607,123.0,2.6796,123.05
6C5D034AB472774F,Key 9m,0.8344,Key 9m,0.7731,Key 9m,0.815,Key 9m,0.7444,Key 9m,0.8266,Key 8d,0.6178,Key 8m,0.8355,126.0,3.2511,126.05
6CD6B2C532382FBE,Key 8m,0.8076,Key 8m,0.7946,Key 8m,0.8417,Key 8m,0.7798,Key 8m,0.763,Key 8d,0.7725,Key 8d,0.8304,130.38,3.0752,130.83
6CDC4C63EAC0C1FC,Key 1m,0.9,Key 1m,0.8693,Key 1m,0.916,Key 1m,0.8047,Key 1m,0.9206,Key 2m,0.6673,Key 1m,0.8218,107.0,3.5531,107.11
6D27C19FD271582C,Key 1m,0.8943,Key 1m,0.907,Key 1m,0.8988,Key 1m,0.8556,Key 1m,0.8628,Key 1m,0.7764,Key 1m,0.8955,117.98,2.7318,118.12
