apple_music_id,artist,name,key,bpm,djay_bpm,djay_manual_bpm,apple_music_bpm,djay_am_bpm_diff,open_key,essentia_key,comment,key_diff
A543179C836D1B52,Audision,Red Sky (Robag Wruhme Remix),,124.01,124.01,,124,0.01,Key 12m,Key 12d,Key 2m,4
4FA902E3391D9161,The Cure,Alone (Four Tet Remix),,129.0,129.0,,129,0.0,Key 1d,Key 1d,Key 11m,4
9E3B1EA114B67B7F,DJ Koze,Hicc Up,,124.52,124.52,,125,-0.48,Key 11m,Key 11m,Key 1m,4
1CB511AB86A1CCAF,Literon,Machine I,,126.0,126.0,,126,0.0,Key 8m,Key 9m,Key 10m,4
C0201242B8135B45,Superpitcher,Mushroom,,125.6,125.6,,126,-0.4,Key 1d,Key 11m,Key 11m,4
EF4C054B23D7E4DF,Brenton Wood,I'm the One Who Knows,,108.3,108.3,,108,0.3,Key 1d,Key 12d,Key 11m,4
C11AE0899701FF43,Frank Ocean,Nights,,80.0,80.0,,80,0.0,Key 11d,Key 9m,Key 11d,4
019465D3643C4897,Khruangbin & Leon Bridges,Texas Sun,,111.6,111.6,,112,-0.4,Key 3d,Key 2d,Key 1m,4
2ABA40573EADB792,Everything But The Girl,Walking Wounded,,78.0,78.0,,78,0.0,Key 6m,Key 5m,Key 5m,2
FFBC0AB56FE356D9,Tomas Barfod,Came To Party,,104.0,104.0,,104,0.0,Key 1m,Key 12d,Key 12d,2
53887FE8DE3E61C9,Jamie xx feat. Romy,Loud Places,,109.0,109.0,,109,0.0,Key 7d,Key 7d,Key 6m,2
E79D41CCE2731E1C,Isabeau Fort & Kalipo,Sometimes,,110.0,110.0,,110,0.0,Key 1m,Key 1d,Key 2m,2
674B680BA2554CBD,Botany,Vision of This Earth Before Our Time,,111.0,111.0,,111,0.0,Key 1d,Key 12m,Key 12m,2
9282BD04501DB3C9,Daniel Bortz,Cuz You're the One,,111.0,111.0,,111,0.0,Key 5m,Key 5m,Key 4m,2
8E94ECE960BCCF63,Fred again..,Kyle (I Found You),,112.0,112.0,,112,0.0,Key 11m,Key 10d,Key 10d,2
4C0C21464BE6AAC7,Lokke & Wodoo Wolcan,00deep und das gefährliche Unterstrassphantom,,113.0,113.0,,113,0.0,Key 7m,Key 7d,Key 6m,2
F09FDE2C9B315F6B,Ninze,Cloud N°7,,115.0,115.0,,115,0.0,Key 8m,Key 7d,Key 7m,2
EFCEB9E3BA4890DA,Maribou State feat. Pedestrian,The Clown (Axel Boman Remix),,116.0,116.0,,116,0.0,Key 1m,Key 12d,Key 1m,2
C8F38A78EF8E1ADC,Morning Factory,Diane's Love,,116.0,116.0,,116,0.0,Key 3m,Key 2m,Key 2m,2
A5AA505409F45D58,Who Made Who,Keep Me In My Plane (DJ Koze's Hudson River Dub),,116.0,116.0,,116,0.0,Key 7m,Key 8m,Key 7m,2
15DFBBABCC01DB5B,Arutani,If It Means This Much To You,,117.0,117.0,,117,0.0,Key 3m,Key 2m,Key 2m,2
39BAACDDD3787B7A,Jacob Mikesh Filburt,At the Ranch (Lauer Remix),,117.0,117.0,,117,0.0,Key 10m,Key 9m,Key 9d,2
5771C71F6D0F631C,kalupke,deep talk,,117.0,117.0,,117,0.0,Key 4m,Key 4m,Key 3m,2
1BFEE25686980D5E,Round,Lucky Star,,117.0,117.0,,117,0.0,Key 12m,Key 11d,Key 11m,2
92657C200C8EACDF,DJ Koze,XTC (Original Mix),,118.0,118.0,,118,0.0,Key 1d,Key 1d,Key 12m,2
9659CB55BA67DBDB,Hodini,Chronic Gangster Boogie,,118.0,118.0,,118,0.0,Key 11m,Key 10m,Key 10m,2
F00223D6C6B750AB,Jitwam,Whereyougonnago?,,118.0,118.0,,118,0.0,Key 12m,Key 11m,Key 11m,2
F237F4D63AAEF7A0,Aleksandir,Dreams,,119.0,119.0,,119,0.0,Key 6m,Key 6d,Key 7m,2
F81B3909CBE1EB61,COMA,Lora (Robag's Fandara Qualv NB),,119.0,119.0,,119,0.0,Key 3d,Key 4d,Key 3m,2
DC02BB77C8212A52,The Invisible feat. Connan Mockasin,K Town Sunset (Tee Mango Summer Daze Revision),,119.0,119.0,,119,0.0,Key 11m,Key 12m,Key 11m,2
6E4FD35EE54F13DE,Superpitcher feat. Fantastic Twins,Brothers,,119.0,119.0,,119,0.0,Key 11m,Key 10d,Key 11m,2
B74337E32768F98F,AQUARIUS HEAVEN,Universe,,120.0,120.0,,120,0.0,Key 3m,Key 3m,Key 2m,2
F62F66B68805BDBE,Bostro Pesopeo,Yes,,120.0,120.0,,120,0.0,Key 1m,Key 12d,Key 12m,2
BDFB1DC0652CF4C9,Daniel Bortz,Wohin Willst Du?,,120.0,120.0,,120,0.0,Key 12m,Key 11m,Key 12m,2
3DD0D7F9D1E50678,Daniela La Luz,Did You Ever,,120.0,120.0,,120,0.0,Key 1d,Key 1d,Key 2m,2
5E92A12B4203D93C,Jabru feat. Joel Culpepper,Church,,120.0,120.0,,120,0.0,Key 1m,Key 1d,Key 2d,2
E534940AE7D7DECC,Jimpster,Porchlight And Rocking Chairs (KiNK Remix),,120.0,120.0,,120,0.0,Key 10d,Key 11d,Key 10m,2
D4FB7B4E63E4CE1D,Jürgen Paape,So Weit Wie Noch Nie,,119.99,119.99,,120,-0.01,Key 8d,Key 8d,Key 9m,2
4F97745F1350A7F2,Keinemusik feat. Ali Love,Confusion,,120.0,120.0,,120,0.0,Key 11m,Key 11m,Key 10m,2
3C9A69D363D15BC0,Keinemusik feat. Sofie,Discoteca Dub,,120.0,120.0,,120,0.0,Key 5m,Key 5m,Key 4m,2
EB6BDDD46026E033,Lady Alma,It's House Music,,120.0,120.0,,120,0.0,Key 11m,Key 10d,Key 11m,2
C2AACE85F0F1733A,Lake People,Point In Time,,120.0,120.0,,120,0.0,Key 5m,Key 5m,Key 4d,2
83D63BB4E26A3B62,Maceo Plex,Her Security,,120.0,120.0,,120,0.0,Key 3d,Key 4d,Key 3d,2
8CFE13D333589EAA,Osunlade,Dionne,,120.0,120.0,,120,0.0,Key 12m,Key 11m,Key 11m,2
DBAB55A461013181,Robag Wruhme,Tulpa Ovi,,120.0,120.0,,120,0.0,Key 2d,Key 2d,Key 1m,2
92D36E5321D323C1,upper class,CONVENTIONAL PARTIES,,120.0,120.0,,120,0.0,Key 3m,Key 2m,Key 2m,2
B77B6DFBB8A700C9,Lawrence,Glow,,121.0,121.0,,121,0.0,Key 12m,Key 11m,Key 12m,2
D5AAE54DB9AA0EB0,She Knows,Thalassa (Original Mix),,121.0,121.0,,121,0.0,Key 7d,Key 8d,Key 8d,2
